type,cno,plexi_x,plexi_y,startframe,numframes,peakframe,aroundpeakframes,goodbad,marker,rat,file
inhib,no,0,400,0,1000,687,200,good,wrist,ihr5,Rupert_week2_cam2_Inhibitory Rat 5_2021-08-10_11_28_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_Rupert Reaching Videos_sampleOct3shuffle1_200000_fix.csv
excite,no,1714,400,0,1000,528,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_53_24_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,no,1714,400,0,1000,699,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_11_57_27_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,no,1714,400,0,1000,176,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1Excitatory_2022-01-31_12_04_21_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,281,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1ExcitatorywithCNO_2022-02-09_11_56_41_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,120,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1ExcitatorywithCNO_2022-02-09_11_59_00_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,575,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1ExcitatorywithCNO_2022-02-09_12_00_12_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,468,200,good,Wrist,er1,grantprelim_week1_cam3_ratER1ExcitatorywithCNO_2022-02-09_12_01_14_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,101,200,bad,Wrist,er1,grantprelim_week1_cam3_ratER1ExcitatorywithCNO_2022-02-09_12_02_34_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,no,1714,400,0,1000,531,200,good,Wrist,er3,grantprelim_week1_cam3_ratER3Excitatory_2022-01-31_12_13_38_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,no,1714,400,0,1000,301,200,bad,Wrist,er3,grantprelim_week1_cam3_ratER3Excitatory_2022-01-31_12_18_03_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,no,1714,400,0,1000,396,200,bad,Wrist,er3,grantprelim_week1_cam3_ratER3Excitatory_2022-01-31_12_22_19_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,244,200,good,Wrist,er3,grantprelim_week1_cam3_ratER3ExcitatorywithCNO_2022-02-09_11_43_39_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,334,200,good,Wrist,er3,grantprelim_week1_cam3_ratER3ExcitatorywithCNO_2022-02-09_11_45_38_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
excite,yes,1714,400,0,1000,410,200,good,Wrist,er3,grantprelim_week1_cam3_ratER3ExcitatorywithCNO_2022-02-09_11_47_42_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,no,1714,400,0,1000,423,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6Control_2022-01-31_12_42_21_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,no,1714,400,0,1000,276,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6Control_2022-01-31_12_45_28_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,no,1714,400,0,1000,566,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6Control_2022-01-31_12_48_10_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,no,1714,400,0,1000,516,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6Control_2022-01-31_12_51_23_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,yes,1714,400,0,1000,215,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6ControlwithCNO_2022-02-09_12_07_27_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,yes,1714,400,0,1000,465,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6ControlwithCNO_2022-02-09_12_12_13_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv
control,yes,1714,400,0,1000,567,200,good,Wrist,er6,grantprelim_week1_cam3_ratER6ControlwithCNO_2022-02-09_12_16_44_fr_wbgam_h264_nearlossless_safeDLC_resnet50_rupertgrantsubFeb16shuffle1_200000.csv